id,name,sex,age,team,noc,year,season,city,sport,event,medal
1,Tom Lee,F,22,FRA,BRA,2016,Summer,Beijing,Cycling,Sprint,Silver
2,Carlos Gomez,M,20,CAN,CHN,2020,Summer,Beijing,Rowing,Judo -60kg,
3,Anna Schmidt,F,26,USA,FRA,2004,Winter,Athens,Rowing,Judo -60kg,
4,Tom Lee,F,37,CAN,BRA,2016,Winter,London,Judo,Double Sculls,Silver
5,Liu Wei,M,23,CAN,UKR,2000,Winter,Rio,Athletics,Sprint,Silver
6,Anna Schmidt,M,35,CHN,USA,2004,Summer,Beijing,Athletics,Sprint,
7,Anna Schmidt,F,23,UKR,FRA,2000,Summer,London,Athletics,Sprint,Gold
8,Tom Lee,M,36,CHN,UKR,2000,Summer,Tokyo,Rowing,Marathon,
9,Maria Ivanova,F,29,CHN,FRA,2020,Winter,Athens,Athletics,Lightweight Boxing,Gold
10,Liu Wei,F,28,GER,CAN,2004,Winter,London,Cycling,100m freestyle,Bronze
11,Tom Lee,F,19,USA,CHN,2000,Winter,Beijing,Swimming,Sprint,Bronze
12,Liu Wei,F,32,CHN,CAN,2020,Summer,Beijing,Rowing,Sprint,Bronze
13,Liu Wei,M,29,FRA,UKR,2020,Winter,Beijing,Cycling,Sprint,
14,Anna Schmidt,M,29,BRA,UKR,2004,Summer,London,Boxing,Judo -60kg,Gold
15,Carlos Gomez,M,26,FRA,UKR,2020,Summer,Beijing,Cycling,Sprint,Silver
16,Liu Wei,M,38,BRA,GER,2004,Summer,London,Cycling,100m freestyle,Bronze
17,Kate Novak,F,19,CAN,CHN,2004,Summer,Beijing,Boxing,Sprint,
18,Anna Schmidt,F,39,GER,FRA,2008,Summer,Tokyo,Cycling,100m freestyle,Gold
19,Maria Ivanova,M,20,USA,UKR,2000,Summer,Tokyo,Swimming,Marathon,
20,Carlos Gomez,F,29,FRA,UKR,2012,Summer,Rio,Rowing,Lightweight Boxing,Silver
21,Kate Novak,F,33,USA,FRA,2004,Summer,Beijing,Judo,Judo -60kg,Gold
22,Kate Novak,F,38,FRA,CAN,2000,Winter,Beijing,Boxing,100m freestyle,
23,Maria Ivanova,M,18,CAN,CAN,2020,Summer,London,Rowing,Double Sculls,Gold
24,Carlos Gomez,M,38,BRA,UKR,2016,Summer,London,Athletics,Marathon,Bronze
25,Anna Schmidt,M,20,UKR,USA,2004,Winter,Beijing,Swimming,Lightweight Boxing,Gold
26,John Doe,F,37,GER,GER,2020,Winter,Rio,Judo,Lightweight Boxing,Silver
27,Carlos Gomez,M,19,FRA,CAN,2020,Summer,Beijing,Swimming,Lightweight Boxing,Bronze
28,Maria Ivanova,M,26,FRA,USA,2020,Summer,London,Swimming,100m freestyle,Bronze
29,Kate Novak,M,36,CAN,GER,2020,Summer,Beijing,Athletics,Marathon,Silver
30,Anna Schmidt,M,32,GER,UKR,2020,Summer,London,Judo,Sprint,Silver
31,Carlos Gomez,M,35,BRA,CHN,2004,Summer,Beijing,Swimming,Double Sculls,Gold
32,John Doe,M,28,BRA,BRA,2012,Winter,Athens,Athletics,Marathon,Silver
